               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 114,            0.018465,            0.027997,                   0,             0.96851,             0.97143,             0.98561,             0.79717,            0.020882,            0.019972,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.018279,            0.027306,                   0,             0.98569,             0.98392,             0.99472,              0.7869,            0.021247,            0.019985,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.018081,            0.026373,                   0,                   1,             0.98297,             0.99472,             0.80985,            0.019716,            0.019882,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.016462,            0.027381,                   0,             0.97804,             0.95714,             0.98529,             0.80013,            0.021413,            0.019934,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.015791,            0.027042,                   0,             0.97252,             0.98571,             0.99458,             0.80271,             0.02221,            0.021374,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.017656,            0.029216,                   0,             0.96567,             0.97143,             0.99184,             0.78175,            0.025076,            0.022848,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.018299,            0.028381,                   0,             0.96694,                   1,               0.993,             0.83306,            0.019437,            0.019814,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.017208,            0.027871,                   0,             0.97179,              0.9841,             0.98945,             0.82977,            0.020811,            0.020114,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.015841,             0.02711,                   0,             0.95575,                   1,             0.99374,             0.82581,            0.019813,            0.020243,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.016905,            0.026533,                   0,             0.94308,             0.98571,             0.98743,             0.79147,            0.024463,            0.021481,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.017399,            0.027907,                   0,             0.96615,                   1,             0.99444,              0.8255,            0.021007,            0.020275,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.017054,            0.029329,                   0,             0.94512,             0.98415,             0.98746,             0.81671,            0.019947,            0.019872,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.014873,            0.026891,                   0,             0.96153,             0.95714,             0.98534,             0.79461,            0.021224,            0.021123,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.015751,            0.026536,                   0,              0.9581,             0.95714,             0.98508,             0.77732,            0.022498,            0.022351,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.017362,            0.026964,                   0,             0.95147,             0.97143,             0.98725,             0.79342,            0.022458,            0.021439,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.016397,            0.026771,                   0,             0.97104,             0.95797,             0.98623,             0.81739,            0.020191,             0.02024,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.015511,            0.025384,                   0,             0.95397,             0.98571,             0.99264,             0.80092,             0.02142,            0.021159,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.01687,            0.027871,                   0,             0.95579,             0.92652,             0.98771,             0.78553,            0.023898,            0.023537,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.016807,            0.026798,                   0,               0.928,             0.92066,             0.97658,             0.77229,            0.025482,            0.024472,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.016359,             0.02659,                   0,             0.93001,             0.94917,              0.9822,             0.79909,            0.021672,            0.022358,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.01541,            0.025948,                   0,             0.94435,             0.97143,             0.98566,             0.77486,            0.024885,            0.024079,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.017461,             0.02767,                   0,              0.9397,             0.98571,              0.9881,             0.81185,            0.021098,            0.021442,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.015825,             0.02645,                   0,             0.91673,             0.94364,             0.98095,             0.79449,            0.022437,            0.022074,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.016076,            0.027744,                   0,              0.9433,             0.98571,             0.98783,             0.83665,            0.019305,            0.019988,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.014899,            0.025947,                   0,             0.95751,             0.96591,             0.98657,             0.81064,            0.020926,            0.021771,                   0,            0.005479,            0.005479,            0.005479
                 139,             0.01641,            0.027872,                   0,             0.93281,             0.98571,              0.9844,             0.80065,            0.021405,            0.021668,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.016096,            0.027362,                   0,             0.95559,             0.98571,             0.99082,             0.80894,             0.01935,            0.020462,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.015157,            0.025735,                   0,             0.95885,             0.99875,             0.99332,             0.82225,             0.01814,            0.018996,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.014306,             0.02659,                   0,             0.94433,             0.95714,             0.98501,             0.80466,            0.021569,            0.021861,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.015496,            0.025342,                   0,             0.93168,             0.97413,             0.98341,             0.80299,            0.023004,            0.022532,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.015914,             0.02565,                   0,             0.95567,             0.95714,              0.9842,             0.80797,            0.020947,            0.021384,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.014986,            0.025235,                   0,             0.94474,             0.97692,             0.98554,             0.82376,            0.020311,            0.020627,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.013957,            0.027559,                   0,             0.94466,             0.97555,             0.98626,             0.84233,              0.0196,            0.019921,                   0,            0.005215,            0.005215,            0.005215
                 147,             0.01373,            0.025095,                   0,              0.9479,             0.97143,             0.99232,             0.83106,            0.021268,            0.021152,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.014824,            0.024934,                   0,             0.94355,             0.95508,             0.98424,             0.81172,            0.023081,            0.022506,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.015867,            0.024052,                   0,             0.94745,             0.98571,             0.99135,             0.82404,            0.019108,             0.02023,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.013509,            0.025906,                   0,             0.95882,              0.9978,             0.99344,             0.83447,            0.019903,             0.02025,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.015182,            0.027114,                   0,             0.96238,             0.95714,             0.98385,              0.7936,            0.022459,             0.02208,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.015748,            0.026419,                   0,             0.95354,             0.95714,             0.99158,             0.81864,            0.019765,            0.021046,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.014635,            0.024547,                   0,             0.95733,             0.95714,              0.9908,             0.81628,            0.019644,            0.020117,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013274,            0.024668,                   0,             0.94073,             0.94286,             0.98002,             0.81011,            0.020384,            0.020617,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.01541,            0.024954,                   0,             0.96441,             0.94286,             0.97056,             0.80791,            0.020387,            0.021349,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.015131,            0.026906,                   0,             0.92898,              0.9344,             0.97608,             0.79514,            0.023057,            0.022155,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.014899,            0.023802,                   0,             0.94789,             0.94286,             0.98273,             0.83176,            0.019573,            0.021229,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.014234,            0.025474,                   0,             0.95794,             0.97617,             0.99296,             0.81964,            0.020566,            0.021977,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.014843,            0.025348,                   0,             0.95801,             0.98571,             0.99267,             0.83684,            0.020184,            0.020991,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.014926,            0.024181,                   0,              0.9484,             0.98571,             0.99222,              0.8329,            0.019543,             0.02083,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.015334,            0.025556,                   0,             0.94421,             0.96719,             0.98765,             0.81998,            0.019609,            0.020768,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.012309,            0.022723,                   0,             0.94141,             0.97143,             0.98806,             0.82434,            0.020044,            0.020588,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.014059,            0.024247,                   0,              0.9426,             0.93834,             0.97232,             0.82071,             0.01963,            0.020217,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.013896,            0.023475,                   0,             0.98702,             0.98571,             0.99486,             0.81034,            0.020266,            0.021661,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.014338,            0.024783,                   0,             0.95822,             0.98571,             0.98232,             0.81329,            0.019909,            0.020833,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.013239,            0.024057,                   0,             0.95718,             0.98571,             0.98262,             0.81025,            0.020001,            0.020556,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.014603,             0.02692,                   0,             0.94575,                   1,             0.99302,             0.82286,            0.019672,            0.020398,                   0,            0.004522,            0.004522,            0.004522
                 168,             0.01392,            0.025159,                   0,             0.94411,             0.96536,             0.98547,             0.80882,            0.020952,            0.021726,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.014704,            0.024959,                   0,             0.92867,             0.98571,             0.98393,              0.8265,            0.019211,            0.020275,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.013102,            0.024851,                   0,             0.97338,             0.94286,             0.98323,             0.79508,            0.023205,            0.023144,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.014069,            0.023964,                   0,             0.97078,             0.94929,             0.98454,             0.81802,            0.020512,            0.022245,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.014532,             0.02444,                   0,             0.95309,             0.92857,             0.98338,             0.81948,            0.020848,            0.021942,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.013475,              0.0234,                   0,             0.97815,             0.92857,             0.98216,             0.80473,            0.020388,            0.022329,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.011646,            0.021319,                   0,             0.92886,             0.98571,             0.98459,             0.81974,            0.019862,            0.021271,                   0,            0.004291,            0.004291,            0.004291
